elapsed_s,latency_ms,fase
36.803,4.824,1
36.803,4.997,1
36.806,3.510,1
36.806,3.612,1
37.001,3.648,1
37.001,3.716,1
37.062,4.409,1
37.062,4.493,1
37.066,4.495,1
37.066,4.538,1
37.098,5.181,1
37.098,5.371,1
37.099,3.835,1
37.100,3.955,1
37.280,8.401,1
37.281,8.853,1
37.286,6.126,1
37.286,6.279,1
37.289,5.199,1
37.289,5.356,1
37.298,7.701,1
37.298,7.891,1
37.304,6.148,1
37.304,6.468,1
37.379,6.142,1
37.379,6.276,1
37.763,5.020,1
37.763,5.312,1
37.768,2.718,1
37.768,2.767,1
38.025,4.131,1
38.025,4.332,1
38.108,4.268,1
38.108,4.505,1
38.283,3.366,1
38.283,3.436,1
38.493,5.613,1
38.493,5.756,1
38.496,5.017,1
38.497,6.364,1
38.500,4.559,1
38.500,4.962,1
38.508,6.598,1
38.508,6.861,1
38.610,6.954,1
38.611,7.554,1
38.612,4.804,1
38.612,5.082,1
38.723,6.447,1
38.724,6.832,1
38.766,8.271,1
38.767,8.675,1
38.771,8.101,1
38.771,8.224,1
38.798,3.861,1
38.798,4.443,1
38.802,3.442,1
38.803,3.788,1
38.828,3.760,1
38.829,3.837,1
38.831,3.890,1
38.831,4.087,1
38.834,4.263,1
38.835,4.694,1
38.869,3.948,1
38.869,4.267,1
38.870,2.587,1
38.870,2.633,1
38.921,3.339,1
38.921,3.551,1
38.958,3.821,1
38.958,3.893,1
38.977,2.484,1
38.977,2.565,1
38.986,2.636,1
38.987,2.900,1
39.254,5.615,1
39.254,5.784,1
39.261,5.666,1
39.261,5.809,1
39.424,5.121,1
39.424,5.446,1
39.428,5.221,1
39.428,5.525,1
39.432,5.548,1
39.432,5.657,1
39.502,6.497,1
39.502,6.894,1
39.505,4.859,1
39.505,4.931,1
39.510,5.593,1
39.510,5.692,1
39.609,5.315,1
39.610,5.724,1
39.744,6.040,1
39.744,6.537,1
39.747,5.005,1
39.747,5.442,1
39.767,6.614,1
39.767,7.709,1
39.770,5.697,1
39.770,6.176,1
39.773,4.062,1
39.773,4.160,1
39.775,3.289,1
39.775,3.419,1
39.781,5.630,1
39.781,6.008,1
39.803,4.407,1
39.803,4.527,1
39.819,4.841,1
39.819,4.912,1
39.819,2.592,1
39.819,2.679,1
39.835,3.363,1
39.835,3.507,1
39.914,3.692,1
39.914,3.928,1
39.916,2.381,1
39.916,2.517,1
39.979,4.731,1
39.979,4.889,1
40.034,3.841,1
40.035,4.072,1
40.037,2.545,1
40.037,2.602,1
40.039,2.443,1
40.039,2.495,1
40.151,4.272,1
40.151,4.419,1
40.157,2.897,1
40.157,3.128,1
40.304,3.353,1
40.304,3.488,1
40.307,3.617,1
40.307,3.889,1
40.332,3.465,1
40.332,3.640,1
40.338,3.892,1
40.338,3.975,1
40.386,4.576,1
40.386,4.705,1
40.389,3.604,1
40.389,3.777,1
40.393,3.314,1
40.393,3.509,1
40.437,4.411,1
40.437,4.618,1
40.543,3.313,1
40.543,3.405,1
40.545,3.560,1
40.546,3.816,1
40.547,2.494,1
40.547,2.543,1
40.579,3.553,1
40.579,3.647,1
40.582,2.865,1
40.582,2.921,1
40.684,4.525,1
40.684,4.643,1
40.686,4.985,1
40.686,5.215,1
40.688,3.275,1
40.688,3.336,1
40.791,10.481,1
40.792,11.189,1
40.846,7.096,1
40.846,7.209,1
41.089,3.605,1
41.089,3.703,1
41.126,4.476,1
41.126,4.576,1
41.213,4.719,1
41.213,4.823,1
41.226,5.110,1
41.226,5.176,1
41.239,6.277,1
41.239,6.457,1
41.362,8.746,1
41.362,8.805,1
41.595,7.658,1
41.595,8.180,1
41.597,6.114,1
41.597,6.525,1
42.115,13.660,1
42.115,13.844,1
42.135,8.404,1
42.135,8.583,1
42.204,10.312,1
42.205,10.524,1
42.229,8.319,1
42.229,8.542,1
42.233,6.044,1
42.233,6.377,1
42.241,6.823,1
42.242,6.978,1
42.696,10.989,1
42.697,11.193,1
42.739,10.518,1
42.739,10.798,1
42.812,10.750,1
42.812,10.919,1
43.093,6.549,1
43.093,6.731,1
43.096,4.739,1
43.096,4.859,1
43.223,3.610,1
43.223,3.776,1
43.297,5.117,1
43.297,5.427,1
43.298,3.964,1
43.298,4.261,1
43.300,3.238,1
43.300,3.336,1
43.401,4.181,1
43.402,5.082,1
43.462,2.597,1
43.462,2.669,1
43.471,2.544,1
43.471,2.732,1
43.472,2.601,1
43.472,2.659,1
43.646,6.660,1
43.646,6.991,1
43.648,3.951,1
43.648,4.120,1
43.767,4.129,1
43.768,4.375,1
43.791,4.206,1
43.791,4.303,1
43.794,2.978,1
43.795,3.195,1
43.853,4.657,1
43.853,4.758,1
43.870,4.371,1
43.870,4.472,1
43.876,4.776,1
43.876,4.837,1
43.880,3.533,1
43.881,4.125,1
43.903,3.970,1
43.903,4.257,1
43.907,3.598,1
43.907,3.692,1
43.991,3.297,1
43.991,3.547,1
43.993,3.408,1
43.993,3.546,1
43.995,2.774,1
43.995,2.946,1
44.480,11.004,1
44.481,11.768,1
44.510,4.564,1
44.510,4.851,1
44.513,3.181,1
44.513,3.536,1
44.594,4.126,1
44.594,4.420,1
44.602,3.798,1
44.602,4.111,1
44.603,3.626,1
44.604,3.736,1
44.768,5.874,1
44.769,6.323,1
44.770,3.591,1
44.770,3.933,1
44.776,5.348,1
44.776,5.472,1
44.779,4.057,1
44.779,4.275,1
44.781,2.867,1
44.781,2.923,1
44.870,4.544,1
44.871,4.846,1
45.149,9.191,1
45.149,9.423,1
45.183,9.815,1
45.183,10.115,1
45.191,7.071,1
45.191,7.301,1
45.196,7.240,1
45.197,7.384,1
45.208,6.804,1
45.208,6.978,1
45.221,8.581,1
45.221,8.793,1
45.251,9.484,1
45.252,10.246,1
45.408,3.212,1
45.408,3.355,1
45.423,3.272,1
45.424,3.954,1
45.426,3.279,1
45.426,3.361,1
45.504,2.457,1
45.504,2.678,1
45.506,2.523,1
45.507,2.693,1
45.520,3.549,1
45.520,3.621,1
45.797,5.431,1
45.798,6.076,1
45.885,4.678,1
45.885,4.870,1
45.887,3.805,1
45.887,4.042,1
45.926,3.793,1
45.926,4.023,1
45.929,3.731,1
45.929,3.810,1
45.934,3.856,1
45.934,3.946,1
45.936,3.209,1
45.936,3.432,1
45.940,2.943,1
45.940,3.142,1
45.975,4.939,1
45.975,5.310,1
45.975,3.772,1
45.975,3.818,1
45.988,2.974,1
45.989,3.363,1
46.037,4.843,1
46.037,5.072,1
46.039,3.477,1
46.039,4.015,1
46.041,2.737,1
46.041,2.781,1
46.045,3.498,1
46.046,3.815,1
46.067,3.889,1
46.067,3.952,1
46.074,3.707,1
46.074,3.765,1
46.083,3.617,1
46.083,3.871,1
46.220,3.206,1
46.220,3.440,1
46.239,3.792,1
46.239,3.880,1
46.283,5.778,1
46.283,6.089,1
46.286,5.447,1
46.286,5.514,1
46.288,4.961,1
46.288,5.154,1
46.289,3.655,1
46.289,3.712,1
46.292,3.613,1
46.292,3.810,1
46.357,3.558,1
46.357,3.664,1
46.358,3.068,1
46.358,3.357,1
46.551,5.339,1
46.552,5.443,1
46.552,3.142,1
46.553,3.303,1
46.568,3.538,1
46.568,3.625,1
46.571,3.881,1
46.571,3.965,1
46.572,2.909,1
46.573,3.059,1
46.578,3.467,1
46.579,3.662,1
46.580,3.446,1
46.580,3.520,1
46.583,2.531,1
46.583,2.836,1
46.603,4.374,1
46.603,4.460,1
46.604,3.578,1
46.605,3.759,1
46.638,4.168,1
46.639,4.562,1
46.642,2.698,1
46.642,2.962,1
46.646,2.826,1
46.647,3.000,1
46.649,2.645,1
46.649,2.803,1
46.753,3.666,1
46.754,4.119,1
46.758,4.526,1
46.758,4.624,1
46.760,4.257,1
46.760,4.351,1
46.768,4.360,1
46.768,4.588,1
46.780,3.306,1
46.780,3.606,1
46.817,3.192,1
46.818,3.271,1
46.819,3.133,1
46.819,3.200,1
46.837,3.305,1
46.837,3.369,1
46.942,4.062,1
46.942,4.231,1
47.031,5.106,1
47.031,5.357,1
47.039,3.072,1
47.039,3.225,1
47.072,7.308,1
47.072,7.430,1
47.072,5.056,1
47.072,5.170,1
47.157,3.257,1
47.157,3.518,1
47.193,5.854,1
47.193,6.103,1
47.193,3.509,1
47.193,3.558,1
47.195,2.754,1
47.195,2.879,1
47.467,3.535,1
47.468,3.744,1
47.474,4.225,1
47.474,4.405,1
